red,green,blue,colornames,hexValue
246,139,31,orange,#F68B1F
0,111,161,marine,#006FA1
99,175,94,leaf,#63AF5E
186,18,34,cherry,#BA1222
117,190,233,sky,#75BEE9
255,194,14,sunshine,#FFC20E
82,77,133,violet,#524D85
