ORIGIN,DESTINATION,COMMODITY, TONS ,DATA YEAR
AK,AK,2229,1629308,2015
AK,AK,4142,17235,2015
AK,AK,4349,15440,2015
AK,AK,5155,208249,2015
AK,AK,6168,231020,2015
AK,AK,7000,335254,2015
AK,AK,8099,2890261,2015
AK,CA,2100,11197726,2015
AK,CA,8099,112854,2015
AK,CN,4600,270007,2015
AK,FO,1000,148950,2015
AK,FO,2100,230319,2015
AK,FO,2229,744507,2015
AK,FO,3200,229,2015
AK,FO,4142,537820,2015
AK,FO,4600,1527569,2015
AK,FO,5155,358,2015
AK,FO,5354,660,2015
AK,FO,6168,803804,2015
AK,FO,7000,88613,2015
AK,FO,8099,49727,2015
AK,HI,8099,1797456,2015
AK,OT,8099,1404656,2015
AK,WA,2100,11020460,2015
AK,WA,2229,386259,2015
AK,WA,4142,23646,2015
AK,WA,4400,100666,2015
AK,WA,5354,11438,2015
AK,WA,6168,333966,2015
AK,WA,7000,288984,2015
AK,WA,8099,139587,2015
AL,AL,1000,6116332,2015
AL,AL,2100,837332,2015
AL,AL,2229,1154975,2015
AL,AL,3200,124355,2015
AL,AL,4142,360070,2015
AL,AL,4400,401586,2015
AL,AL,5354,4425618,2015
AL,AL,6168,182788,2015
AL,AL,8099,484418,2015
AL,AR,4400,7804,2015
AL,AR,5354,186092,2015
AL,AR,8099,3636,2015
AL,CN,2229,42139,2015
AL,FL,2229,898430,2015
AL,FL,4349,25892,2015
AL,FL,5354,14274,2015
AL,FL,8099,1230223,2015
AL,FO,1000,10525213,2015
AL,FO,2229,476856,2015
AL,FO,3100,48171,2015
AL,FO,3200,532919,2015
AL,FO,4142,2159436,2015
AL,FO,4349,32581,2015
AL,FO,4400,157341,2015
AL,FO,4600,3914,2015
AL,FO,5155,241718,2015
AL,FO,5354,591604,2015
AL,FO,6168,1027080,2015
AL,FO,7000,182246,2015
AL,FO,8099,120177,2015
AL,IA,8099,6543,2015
AL,IL,4142,27754,2015
AL,IL,5354,110803,2015
AL,IL,6168,34408,2015
AL,IL,8099,38319,2015
AL,IN,8099,93428,2015
AL,KY,5354,40362,2015
AL,KY,6168,7678,2015
AL,KY,8099,155229,2015
AL,LA,2100,285989,2015
AL,LA,2229,1131307,2015
AL,LA,3200,329695,2015
AL,LA,4349,4110,2015
AL,LA,4400,20642,2015
AL,LA,5155,578779,2015
AL,LA,5354,120737,2015
AL,LA,6168,501305,2015
AL,LA,8099,16353,2015
AL,MN,8099,16654,2015
AL,MO,5354,87123,2015
AL,MO,8099,8055,2015
AL,MS,2229,16188,2015
AL,MS,4349,466770,2015
AL,MS,5354,397347,2015
AL,MS,6168,6070,2015
AL,MS,8099,429281,2015
AL,OH,8099,26164,2015
AL,OK,5354,86836,2015
AL,OK,8099,36937,2015
AL,OT,7000,38005,2015
AL,OT,8099,179646,2015
AL,PA,5354,23203,2015
AL,PA,8099,6600,2015
AL,PR,8099,50035,2015
AL,TN,4349,110333,2015
AL,TN,5354,157009,2015
AL,TN,6168,79629,2015
AL,TN,8099,130404,2015
AL,TX,2100,94961,2015
AL,TX,2229,336823,2015
AL,TX,3200,141629,2015
AL,TX,5155,61781,2015
AL,TX,5354,202568,2015
AL,TX,8099,11413,2015
AL,WI,8099,9632,2015
AL,WV,8099,13968,2015
AR,AL,4400,37565,2015
AR,AL,8099,10473,2015
AR,AR,2229,60802,2015
AR,AR,4349,1927013,2015
AR,AR,8099,20733,2015
AR,IA,8099,10674,2015
AR,IL,8099,180614,2015
AR,IN,2229,21803,2015
AR,IN,8099,13604,2015
AR,KY,2229,561196,2015
AR,KY,8099,42134,2015
AR,LA,2229,43683,2015
AR,LA,4349,58410,2015
AR,LA,6168,5821205,2015
AR,LA,8099,14235,2015
AR,MN,8099,1266,2015
AR,MO,2229,77227,2015
AR,MO,4349,50635,2015
