oFAFZONE,dFAFZONE,distance
11,11,42.1033557828976
11,12,210.522864883913
11,19,104.054815859125
11,20,3265.91467117643
11,41,1446.77575062887
11,42,1450.99827881659
11,49,1411.39433739398
11,50,343.184369939379
11,61,1752.68670896046
11,62,1940.47449081361
11,63,1725.36235140154
11,64,1993.1209528899
11,69,1922.41349215471
11,81,1092.05850432169
11,89,1110.77373419133
11,91,968.998222124763
11,92,924.873242494794
11,99,972.575582055154
11,100,738.461977337021
11,111,659.667102744652
11,121,373.399834377902
11,122,637.591430348523
11,123,460.045994921859
11,124,451.215556769233
11,129,384.656573257101
11,131,144.680566445882
11,132,332.796560181707
11,139,224.075812940038
11,151,4359.09969723894
11,159,4327.3608331255
11,160,1652.32511061073
11,171,574.22821246102
11,172,406.735344383484
11,179,449.77109680656
11,181,537.24436826763
11,182,427.070347683333
11,189,434.916959839144
11,190,694.264244569502
11,201,586.735304877154
11,209,730.952860626029
11,211,322.422007178976
11,219,309.644018007412
11,221,329.856134844221
11,222,440.663076137606
11,223,306.430026148746
11,229,356.215691924896
11,230,1201.16958425326
11,241,693.77929355593
11,242,660.515687501687
11,249,683.195181248937
11,251,1041.39653270092
11,259,1009.17117262058
11,261,654.023140196718
11,262,656.315088113839
11,269,757.938599845902
11,271,872.762173859152
11,279,937.942189077148
11,280,194.947347785065
11,291,564.817871922747
11,292,406.390790029509
11,299,467.776725384816
11,300,1518.25240939535
11,310,862.566224310443
11,321,1644.33145871913
11,329,1762.62735745952
11,330,1070.10042272704
11,341,840.27893550281
11,342,776.727055791119
11,349,793.418880872084
11,350,1097.92328249586
11,361,949.524538316787
11,362,774.187181222724
11,363,882.017372458228
11,364,825.919466217509
11,369,880.164976090761
11,371,367.910597495114
11,372,419.039141477816
11,373,483.649546504501
11,379,453.712337981008
11,380,1190.26837099304
11,391,421.023088521182
11,392,622.138086103945
11,393,496.371448744077
11,394,464.986240092264
11,399,530.084092742016
11,401,618.580076376777
11,402,556.51008674709
11,409,620.217893202029
11,411,2068.61407656683
11,419,1981.17956752214
11,421,775.993257173356
11,422,615.13191226223
11,429,725.523315525422
11,441,1007.12844644827
11,451,391.030579966108
11,452,275.715329524563
11,459,351.908860317551
11,460,1002.79115021157
11,471,205.9320792555
11,472,182.630674327831
11,479,204.030927005932
11,481,678.383841231202
11,482,492.737577649817
11,483,753.894645454811
11,484,588.008597830008
11,485,1135.58340157501
11,486,570.399248310072
11,487,844.323199360522
11,488,746.553724325936
11,489,738.235055733265
11,491,1469.84233834065
11,499,1423.87810440249
11,500,1054.40422742455
11,511,591.673238747584
11,512,632.347170881862
11,513,628.547491084352
11,519,499.825415876678
11,531,2079.59937718383
11,539,1979.84887727494
11,540,503.826316961978
11,551,663.993180018057
11,559,778.595551429957
11,560,1283.74598380855
11,801,1810.17254389782
11,802,1158.3176672263
11,803,3756.78755348328
11,804,5966.34547084286
11,805,6777.26267428297
11,806,7372.35309783412
11,807,7423.31152099445
11,808,9920.06768316917
12,11,210.522864883913
12,12,13.3292025361638
12,19,183.947702447414
12,20,3388.66840004935
12,41,1411.70913051557
12,42,1405.46032821291
12,49,1384.12506154741
12,50,398.326241224234
12,61,1730.5661969855
12,62,1956.85999613895
12,63,1692.70483878227
12,64,2000.00057756851
12,69,1933.68602429611
12,81,1142.66715252904
12,89,1147.94066625785
12,91,1153.61897269786
12,92,1110.11049171536
12,99,1154.94311597644
12,100,915.760409381965
12,111,841.561704439872
12,121,369.665974651423
12,122,554.069899519907
12,123,415.759475985137
12,124,372.652574414388
12,129,318.635711348839
12,131,295.349330528784
12,132,397.682004635284
12,139,310.021930500484
12,151,4323.98031415039
12,159,4288.79968638458
12,160,1718.82566989396
12,171,767.131964811056
12,172,575.020013996904
12,179,630.40201722822
12,181,736.095547686918
12,182,631.573046996127
12,189,638.400892308983
12,190,845.585753406465
12,201,691.845560291633
12,209,801.214799601943
12,211,530.351163925988
12,219,512.132102539531
12,221,188.832201171479
12,222,309.598306629421
12,223,130.233668974733
12,229,268.706400250964
12,230,1392.3463388317
12,241,876.904692473367
12,242,840.764453672998
12,249,863.251498714479
12,251,1225.58207803663
12,259,1193.33616808682
12,261,862.841039597311
12,262,859.903673038605
12,269,961.827177268046
12,271,1038.59720469438
12,279,1098.67126924926
12,280,190.682967580257
12,291,681.576283205668
12,292,561.872841428756
12,299,596.720473510415
12,300,1618.72926909139
12,310,964.031829395299
12,321,1647.69936491892
12,329,1785.83331209028
12,330,1260.93492964109
12,341,1024.40098181809
12,342,956.613824837519
12,349,973.136281467832
12,350,1079.79520738763
12,361,1143.69395589547
12,362,979.260463831304
12,363,1066.96488121326
12,364,1029.19990859252
12,369,1079.25608628041
12,371,528.426168118023
12,372,587.731137658844
12,373,640.110620304718
12,379,610.786249623023
12,380,1330.12625708172
12,391,630.022058979542
12,392,830.026046629597
12,393,704.898340365948
12,394,673.959716807312
12,399,737.391161855174
12,401,636.791842692796
12,402,602.640153817717
12,409,639.905667379215
12,411,2131.17586440754
12,419,2037.77696870349
12,421,960.606586463258
12,422,817.429654045875
12,429,921.346102156472
12,441,1188.79017481614
12,451,490.95017167492
12,452,437.302570442647
12,459,476.859220533732
12,460,1128.346973401
12,471,334.702323847486
12,472,386.236812583818
12,479,395.385548757787
12,481,578.692750188925
12,482,370.212004952619
12,483,610.253355109395
12,484,548.921028772126
12,485,1080.44654544512
12,486,451.601228980286
12,487,713.520346376409
12,488,637.952214861111
12,489,676.800598370824
12,491,1513.06158905304
12,499,1451.30206823222
12,500,1250.20662850203
12,511,762.321074595278
12,512,793.50372970805
12,513,812.021358575282
12,519,680.261380967892
12,531,2156.80249666484
12,539,2056.89419362951
12,540,701.345942244443
12,551,859.215160914295
12,559,963.974695876673
12,560,1361.3003376862
12,801,1991.75790028592
12,802,1005.7972628543
12,803,3627.10579644848
12,804,6169.4951865174
12,805,6891.42632973996
12,806,7579.8502125493
12,807,7607.06824765441
12,808,9849.32661805246
19,11,104.054815859125
19,12,183.947702447414
19,19,122.257764340921
19,20,3308.87897662614
19,41,1462.84637780716
19,42,1464.84530934472
19,49,1429.01665240128
19,50,374.522439498717
19,61,1771.56175469149
19,62,1966.92403521203
19,63,1742.05304800462
19,64,2017.79313707248
19,69,1947.83584608312
19,81,1124.2483598456
19,89,1140.56998619678
19,91,994.937730410779
19,92,951.156789512032
19,99,997.551778847626
19,100,761.841760964067
19,111,685.162518072285
19,121,346.221381743377
19,122,598.852425724581
19,123,426.349681306056
19,124,412.781666987419
